Z-score,Mean,Std_Dev,Min,Max,Class
-0.960944469,68665.33,66131.76102,17808,189700.91,0
-0.635579121,51748.424,69328.36931,5116.38,189700.91,0
-0.290252519,49723.776,70429.07363,5116.38,189700.91,0
-0.381550916,51723.288,69674.36551,5116.38,189700.91,0
-0.145588308,51384.516,69798.57202,5116.38,189700.91,0
1.608472312,21688.866,13578.53899,5116.38,41222.66,0
-0.990298294,29371.504,12877.40681,7684.76,43529.57,0
-0.796435644,31158.358,10054.69564,16619.03,43529.57,0
2.728380585,29932.134,10569.49172,16619.03,43529.57,0
-9.638924074,36658.286,15106.27482,16619.03,58769.73,1
2.905903911,6623.764,59685.10705,-108949.95,58769.73,1
0.260226386,33930.44,92522.86201,-108949.95,180062.95,0
0.356647355,42208.1,92455.19283,-108949.95,180062.95,0
0.04699838,52614.412,92652.51258,-108949.95,180062.95,0
-0.451096816,52254.252,92631.38318,-108949.95,180062.95,0
-0.285589573,76137.948,56231.5977,10468.53,180062.95,0
-1.645049718,52141.116,21855.03916,10468.53,75182,0
0.349278442,43777.348,25677.34198,10468.53,75182,0
-0.469739626,39290.126,21401.5711,10468.53,60078.79,0
1.372269823,33743.732,19620.65153,10468.53,60078.79,0
-1.945349786,43783.738,17911.18402,16188.49,60668.56,0
6.39394315,33556.024,20147.27735,8940.22,60668.56,1
-0.480594892,62793.64,53006.55584,8940.22,162376.57,0
-0.682901146,59708.254,53942.33739,8940.22,162376.57,0
-0.738294837,58435.056,54716.10254,8940.22,162376.57,0
-0.602621875,49909.032,56978.40293,8940.22,162376.57,0
-0.587129227,51235.508,56079.30334,15572.6,162376.57,0
-2.150537075,22422.136,7812.321024,15572.6,37318.96,0
-0.783653844,16082.634,5736.951379,5621.45,22870.97,0
1.014319865,13825.81,4758.725689,5621.45,18309.71,0
0.748878854,13948.658,4872.459651,5621.45,18652.68,0
-1.209301013,14353.646,5070.727582,5621.45,18652.68,0
-12.47268981,12336.026,5102.1341,5621.45,18652.68,1
0.48675957,951.474,26407.36164,-51301.31,18652.68,0
0.058433748,1395.206,26600.27921,-51301.31,18652.68,0
0.506487978,-1745.418,25271.13881,-51301.31,17597.54,0
1.224343746,-3054.104,24389.61615,-51301.31,13805.51,0
2.488393763,663.008,27091.46076,-51301.31,26807.17,0
0.994932836,24538.716,23081.92389,2949.56,68077.23,0
1.190520755,31278.35,23870.27683,2949.56,68077.23,0
-1.505519093,42627.72,21023.67891,11054.11,68077.23,0
-0.872141657,42612.132,21047.09922,10976.17,68077.23,0
-1.436150413,42101.914,21451.09851,10976.17,68077.23,0
-0.382970708,30745.45,19648.18678,10976.17,59696.41,0
0.940403617,25888.868,17821.93486,10976.17,59696.41,0
20.98316766,22479.322,11557.88211,10976.17,42648.68,1
-0.753993481,73284.148,96380.88372,11294.91,265000.3,0
0.166721857,68555.65,99208.7081,613.59,265000.3,0
-0.435085499,83315.85,94991.90402,613.59,265000.3,0
-0.243048627,87068.946,92890.90128,613.59,265000.3,0
-0.815072945,91437.598,91197.29521,613.59,265000.3,0
-0.736937173,41858.568,30645.17413,613.59,85095.91,0
-1.072213519,45590.85,26210.12467,17105.15,85095.91,0
-0.806332346,32069.268,18707.25896,17105.15,64491.94,0
-0.507006752,27069.018,18729.56913,16985,64491.94,0
-6.350926621,17685.23,825.3094884,16985,19275,0
44.89868196,16752.95,2288.95472,12443.75,19275,1
0.489298138,36802.75,41404.71507,12443.75,119524,0
